ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv,circ_mv,name,industry,list_date
002520.SZ,20260305,6.77,7.3542,1.03,,19.7595,507915.9808,485706.9958,日发精机,机床制造,20101210
688111.SH,20260305,279.45,1.152,0.77,78.7131,10.6569,12948933.9213,12948933.9213,金山办公,软件服务,20191118
301310.SZ,20260305,37.88,1.9153,0.8,44.4937,2.2641,517268.2187,190324.8781,鑫宏业,汽车配件,20230602
002225.SZ,20260305,6.37,2.8335,0.71,54.6761,1.7915,738435.3366,620550.6503,濮耐股份,其他建材,20080425
002644.SZ,20260305,8.59,1.2189,0.67,73.0241,2.4077,438654.363,438654.363,佛慈制药,中成药,20111222
301296.SZ,20260305,8.19,2.0834,1.26,18.9231,1.2635,347899.7111,240451.5818,新巨丰,广告包装,20220902
002998.SZ,20260305,8.34,3.8508,0.49,35.0518,1.7845,293645.0291,223319.2067,优彩资源,化纤,20200925
603227.SH,20260305,8.85,1.3371,0.72,14.1891,1.865,948448.0298,948448.0298,雪峰科技,化工原料,20150515
603368.SH,20260305,17.21,1.08,0.73,7.9965,0.8909,683600.742,683600.742,柳药集团,医药商业,20141204
002292.SZ,20260305,8.55,4.0599,0.82,,4.2819,1264288.2409,870277.8001,奥飞娱乐,影视音像,20090910
000736.SZ,20260305,5.22,0.8603,0.75,,3.1259,389985.3653,389985.3653,*ST中地,全国地产,19970425
002480.SZ,20260305,6.07,1.3707,0.81,,4.8413,466885.3827,466004.7932,新筑股份,运输设备,20100921
603088.SH,20260305,12.66,3.8849,0.52,38.6401,5.8103,636023.165,554345.7494,宁波精达,机床制造,20141111
002995.SZ,20260305,23.31,7.4917,0.66,,4.6562,413646.3929,262044.5118,天地在线,互联网,20200805
300776.SZ,20260305,90.34,6.2371,0.91,46.916,6.5869,2475343.6621,1518104.3557,帝尔激光,专用机械,20190517
600293.SH,20260305,3.52,3.4103,0.84,325.0415,2.4238,408371.0562,408371.0562,三峡新材,玻璃,20000919
301049.SZ,20260305,24.24,4.1248,0.84,,3.8238,228470.0816,103811.0942,超越科技,环境保护,20210824
300228.SZ,20260305,11.85,19.552,1.1,32.2946,2.9539,707949.2756,665443.0293,富瑞特装,化工机械,20110608
002791.SZ,20260305,22.81,2.8482,0.67,89.701,1.4516,807211.7147,436301.2038,坚朗五金,其他建材,20160329
688388.SH,20260305,44.66,4.1869,0.6,,2.7511,1932535.4695,1932535.4695,嘉元科技,电气设备,20190722
300554.SZ,20260305,25.92,13.4795,2.38,,4.6307,296036.4076,205127.5648,三超新材,矿物制品,20170421
605133.SH,20260305,28.51,1.027,0.56,49.3376,2.1404,806174.8524,804318.7373,嵘泰股份,汽车配件,20210224
